SM_Center_Canonical_ID	SM_Center_Batch_ID	SM_LINCS_ID	SM_LINCS_ID_Previous	Expunge
BRD-K65182930	BRD-K65182930-001-02-4	LSM-1162	LSM-44930	0
BRD-A05729358	BRD-A05729358-001-01-2	LSM-1360	LSM-42813	0
BRD-A16998493	BRD-A16998493-001-01-6	LSM-1781	LSM-4984	0
BRD-A69927616	BRD-A69927616-001-07-0	LSM-1897	LSM-5130	0
BRD-A69927616	BRD-A69927616-001-08-8	LSM-1897	LSM-5130	0
BRD-K14842454	BRD-K14842454-001-01-3	LSM-2152	LSM-42861	0
BRD-K64970062	BRD-K64970062-001-05-6	LSM-2387	LSM-42897	0
BRD-A76753281	BRD-A76753281-001-01-8	LSM-2404	LSM-6495	0
BRD-K85660637	BRD-K85660637-001-04-7	LSM-2516	LSM-42912	0
BRD-K02558072	BRD-K02558072-001-03-7	LSM-2542	LSM-42915	0
BRD-K67470788	BRD-K67470788-001-02-4	LSM-2842	LSM-42952	0
BRD-K49061529	BRD-K49061529-001-05-1	LSM-3077	LSM-42968	0
BRD-K73819439	BRD-K73819439-001-01-9	LSM-3096	LSM-42971	0
BRD-K18739469	BRD-K18739469-001-01-0	LSM-3181	LSM-42982	0
BRD-K18739469	BRD-K18739469-001-02-8	LSM-3181	LSM-42982	0
BRD-K56800335	BRD-K56800335-015-03-1	LSM-3266	LSM-42987	0
BRD-K62736196	BRD-K62736196-015-03-7	LSM-3266	LSM-42988	0
BRD-K91047982	BRD-K91047982-001-01-6	LSM-3363	LSM-42992	0
BRD-A85424553	BRD-A85424553-050-03-9	LSM-3426	LSM-1869	0
BRD-K53517854	BRD-K53517854-050-03-2	LSM-3625	LSM-43015	0
BRD-K31534764	BRD-K31534764-050-01-7	LSM-3625	LSM-43014	0
BRD-K17628612	BRD-K17628612-001-03-8	LSM-3682	LSM-43019	0
BRD-K17628612	BRD-K17628612-001-01-2	LSM-3682	LSM-43019	0
BRD-K79092138	BRD-K79092138-001-04-5	LSM-3779	LSM-43026	0
BRD-K79092138	BRD-K79092138-001-06-0	LSM-3779	LSM-43026	0
CGC00002164	CGC00002164-004	LSM-3779	LSM-43026	0
BRD-K81272440	BRD-K81272440-001-02-6	LSM-3823	LSM-43029	0
BRD-K81272440	BRD-K81272440-236-06-9	LSM-3823	LSM-43029	0
BRD-K01228321	BRD-K01228321-318-03-5	LSM-4268	LSM-36448	0
BRD-K24630133	BRD-K24630133-318-01-7	LSM-4268	LSM-36449	0
BRD-K08681769	BRD-K08681769-236-01-5	LSM-4279	LSM-5264	0
HMSL10346	HMSL10346-110-1	LSM-4620	LSM-6363	0
PCCSE_salermide	PCCSE_salermide	LSM-5123	LSM-43152	0
BRD-K15766189	BRD-K15766189-001-02-3	LSM-5216	LSM-43163	0
BRD-K52735702	BRD-K52735702-001-01-2	LSM-5216	LSM-43164	0
BRD-K62607865	BRD-K62607865-001-03-0	LSM-5301	LSM-43171	0
BRD-K23369905	BRD-K23369905-008-01-6	LSM-5389	LSM-43183	0
BRD-K68188368	BRD-K68188368-001-03-7	LSM-5404	LSM-43185	0
BRD-K28346421	BRD-K28346421-001-01-9	LSM-5420	LSM-43189	0
BRD-A79226577	BRD-A79226577-003-01-1	LSM-5617	LSM-1813	0
CGC00003138	CGC00003138-002	LSM-5751	LSM-6715	0
ALE	DToxS_Alendronate	LSM-5831	LSM-36378	0
BRD-K78364995	BRD-K78364995-236-03-5	LSM-5834	LSM-43233	0
BRD-K76927775	BRD-K76927775-001-04-3	LSM-6522	LSM-43315	0
CGC00003455	CGC00003455-001	LSM-6554	LSM-6717	0
BRD-K13281575	BRD-K13281575-001-04-3	LSM-6714	LSM-6547	0
BRD-A77722753	BRD-A77722753-003-02-5	LSM-15370	LSM-42835	0
BRD-A37444045	BRD-A37444045-003-01-5	LSM-15370	LSM-1803	0
HMSL10046	HMSL10046-101-1	LSM-42746	LSM-1046	0
HMSL10046	HMSL10046-101	LSM-42746	LSM-42781	0
BRD-K01253243	BRD-K01253243-001-01-4	LSM-42746	LSM-1046	0
BRD-K01253243	BRD-K01253243-001-02-2	LSM-42746	LSM-1046	0
HMSL10181	HMSL10181-101-1	LSM-42801	LSM-1182	0
MON	DToxS_Montelukast	LSM-43228	LSM-44527	0
BRD-M86331534	BRD-M86331534-373-03-1	LSM-43350	LSM-44533	0
BRD-M86331534	BRD-M86331534-373-01-5	LSM-43350	LSM-44533	0
BRD-K44084986	BRD-K44084986-001-02-1	LSM-44936	LSM-2974	0
BRD-K44084986	BRD-K44084986-001-03-9	LSM-44936	LSM-2974	0
HMSL10039	HMSL10039-101-2	LSM-44937	LSM-5431	1
BRD-K29385665	BRD-K29385665-001-04-5	LSM-44937	LSM-5431	1
BRD-U60236422	BRD-U60236422-000-01-0	LSM-44937	LSM-5431	1
HMSL10039	HMSL10039-101-1	LSM-44937	LSM-5431	1
HMSL10090	HMSL10090-101-1	LSM-44938	LSM-6298	1
BRD-K52721289	BRD-K52721289-001-01-3	LSM-44938	LSM-6298	1
HMSL10321	HMSL10321-110-1	LSM-44939	LSM-6326	1
BRD-K32847255	BRD-K32847255-236-02-1	LSM-44939	LSM-42747	1
BRD-K82484347	BRD-K82484347-236-02-2	LSM-44940	LSM-42749	1
HMSL10322	HMSL10322-110-1	LSM-44940	LSM-6327	1
HMSL10269	HMSL10269-999-1	LSM-44941	LSM-6352	1
HMSL10269	HMSL10269-101-1	LSM-44941	LSM-6352	1
BRD-K40758391	BRD-K40758391-001-05-6	LSM-44942	LSM-42955	1
BRD-K40758391	BRD-K40758391-001-03-1	LSM-44942	LSM-42955	1
BRD-K40758391	BRD-K40758391-001-06-4	LSM-44942	LSM-42955	1
BRD-K49403449	BRD-K49403449-001-04-5	LSM-44943	LSM-42969	1
BRD-K49403449	BRD-K49403449-001-02-9	LSM-44943	LSM-42969	1
BRD-K49403449	BRD-K49403449-001-05-2	LSM-44943	LSM-42969	1
BRD-A67514145	BRD-A67514145-003-04-1	LSM-44944	LSM-43145	1
BRD-A67514145	BRD-A67514145-003-03-3	LSM-44944	LSM-43145	1
BRD-K30707190	BRD-K30707190-001-02-5	LSM-44945	LSM-43195	1
BRD-K30707190	BRD-K30707190-001-03-3	LSM-44945	LSM-43195	1
HMSL10078	HMSL10078-101-1	LSM-44946	LSM-43209	1
BRD-K49327517	BRD-K49327517-001-02-7	LSM-44946	LSM-43209	1
BRD-U41416256	BRD-U41416256-000-01-3	LSM-44946	LSM-43209	1
BRD-K63641886	BRD-K63641886-001-01-7	LSM-44947	LSM-43221	1
CEF	DToxS_Cefuroxime	LSM-44947	LSM-43220	1
BRD-K02733959	BRD-K02733959-236-02-8	LSM-44947	LSM-43220	1
BRD-M16762496	BRD-M16762496-001-01-9	LSM-44948	LSM-43255	1
BRD-K49371609	BRD-K49371609-310-01-1	LSM-44948	LSM-43255	1
BRD-K11756522	BRD-K11756522-001-03-2	LSM-44949	LSM-43317	1
CGC00000425	CGC00000425-003	LSM-44949	LSM-43317	1
BRD-K71059170	BRD-K71059170-001-02-5	LSM-44950	LSM-43013	1
BRD-K04993501	BRD-K04993501-002-01-7	LSM-44950	LSM-43012	1
HMSL10036	HMSL10036-101-1	LSM-44951	LSM-1036	0
BRD-K84085265	BRD-K84085265-001-01-3	LSM-44952	LSM-1058	0
HMSL10122	HMSL10122-101-1	LSM-44953	LSM-1122	0
HMSL10184	HMSL10184-101-1	LSM-44954	LSM-1185	1
BRD-A19795905	BRD-A19795905-001-02-3	LSM-44955	LSM-1864	0
BRD-K03319035	BRD-K03319035-003-02-7	LSM-44956	LSM-2043	0
BRD-K34776109	BRD-K34776109-001-03-4	LSM-44957	LSM-2760	0
BRD-M94527406	BRD-M94527406-103-01-4	LSM-44958	LSM-3571	0
HMSL10242	HMSL10242-101-1	LSM-44959	LSM-4265	1
BRD-A21072306	BRD-A21072306-304-01-8	LSM-44960	LSM-4993	1
BRD-A56892734	BRD-A56892734-001-07-8	LSM-44961	LSM-5087	1
BRD-A62428732	BRD-A62428732-096-02-6	LSM-44962	LSM-5103	0
BRD-A84282119	BRD-A84282119-003-01-2	LSM-44963	LSM-5143	0
BRD-M19787235	BRD-M19787235-045-01-6	LSM-44964	LSM-6041	1
BRD-K26510616	BRD-K26510616-001-01-7	LSM-44965	LSM-36782	1
BRD-K54343811	BRD-K54343811-001-01-1	LSM-44966	LSM-36787	1
BRD-M74254599	BRD-M74254599-001-02-0	LSM-44967	LSM-37265	1
BRD-A04756508	BRD-A04756508-001-01-5	LSM-44968	LSM-42810	1
BRD-A58564983	BRD-A58564983-001-03-8	LSM-44969	LSM-42828	1
BRD-K53263234	BRD-K53263234-001-02-9	LSM-44970	LSM-42981	1
BRD-K66019333	BRD-K66019333-096-01-2	LSM-44971	LSM-43002	1
BRD-A40787240	BRD-A40787240-066-02-0	LSM-44972	LSM-43069	1
BRD-A81530502	BRD-A81530502-001-01-6	LSM-44973	LSM-43076	1
BRD-K09997269	BRD-K09997269-001-01-7	LSM-44974	LSM-43085	1
BRD-K91987625	BRD-K91987625-003-01-2	LSM-44975	LSM-43111	1
BRD-K17119186	BRD-K17119186-001-01-8	LSM-44976	LSM-43125	1
BRD-A54635441	BRD-A54635441-078-06-7	LSM-44977	LSM-43149	1
BRD-A67981824	BRD-A67981824-236-01-2	LSM-44978	LSM-43153	1
BRD-A87387433	BRD-A87387433-001-02-7	LSM-44979	LSM-43158	1
BRD-K30097969	BRD-K30097969-001-04-6	LSM-44980	LSM-43192	1
BRD-K47878171	BRD-K47878171-086-04-5	LSM-44981	LSM-43206	1
BRD-K99984802	BRD-K99984802-098-04-0	LSM-44982	LSM-43251	1
BRD-M08470251	BRD-M08470251-096-02-2	LSM-44983	LSM-43252	1
BRD-M37402942	BRD-M37402942-211-01-2	LSM-44984	LSM-43259	1
BRD-M41106164	BRD-M41106164-001-01-9	LSM-44985	LSM-43261	1
BRD-M59543297	BRD-M59543297-001-04-6	LSM-44986	LSM-43265	1
BRD-K74761218	BRD-K74761218-001-03-5	LSM-44987	LSM-43283	1
BRD-A67711610	BRD-A67711610-001-02-7	LSM-44988	LSM-43307	1
BRD-A73933229	BRD-A73933229-001-01-4	LSM-44989	LSM-43310	1
BRD-K27885958	BRD-K27885958-086-01-9	LSM-44990	LSM-43320	1
BRD-K49807497	BRD-K49807497-001-02-2	LSM-44991	LSM-43325	1
BRD-M23230978	BRD-M23230978-001-01-5	LSM-44992	LSM-43338	1
BRD-M23617377	BRD-M23617377-211-01-5	LSM-44993	LSM-43339	1
BRD-M63173034	BRD-M63173034-001-01-0	LSM-44994	LSM-43342	1
CGC00003454	CGC00003454-001	LSM-44995	LSM-43349	1
BRD-M00964333	BRD-M00964333-001-01-6	LSM-44996	LSM-43507	1
BRD-M02207845	BRD-M02207845-001-01-9	LSM-44997	LSM-43508	1
BRD-M03805540	BRD-M03805540-001-01-7	LSM-44998	LSM-43509	1
BRD-M03817478	BRD-M03817478-001-01-8	LSM-44999	LSM-43510	1
BRD-M04224464	BRD-M04224464-001-01-2	LSM-45000	LSM-43511	1
BRD-M08461891	BRD-M08461891-001-01-9	LSM-45001	LSM-43512	1
BRD-M09121311	BRD-M09121311-001-01-0	LSM-45002	LSM-43513	1
BRD-M10589662	BRD-M10589662-001-01-0	LSM-45003	LSM-43514	1
BRD-M11500571	BRD-M11500571-001-01-6	LSM-45004	LSM-43515	1
BRD-M12187987	BRD-M12187987-001-01-9	LSM-45005	LSM-43516	1
BRD-M12376605	BRD-M12376605-001-01-0	LSM-45006	LSM-43517	1
BRD-M17304464	BRD-M17304464-001-01-7	LSM-45007	LSM-43518	1
BRD-M18093923	BRD-M18093923-001-01-0	LSM-45008	LSM-43519	1
BRD-M18345234	BRD-M18345234-001-01-8	LSM-45009	LSM-43520	1
BRD-M19115046	BRD-M19115046-001-01-2	LSM-45010	LSM-43521	1
BRD-M20534100	BRD-M20534100-001-01-4	LSM-45011	LSM-43522	1
BRD-M22248829	BRD-M22248829-001-01-9	LSM-45012	LSM-43523	1
BRD-M22422412	BRD-M22422412-001-01-3	LSM-45013	LSM-43524	1
BRD-M22555785	BRD-M22555785-001-01-9	LSM-45014	LSM-43525	1
BRD-M23605671	BRD-M23605671-001-01-8	LSM-45015	LSM-43526	1
