SM_LINCS_ID	SM_PubChemCID	SM_PubChem_SID
LSM-1002	24880028	177749160
LSM-1003	24875320	177749004
LSM-1004	11338033	177748954
LSM-1005	9911830	177748705
LSM-1006	67077825	177749161
LSM-1009	44551660	177749034
LSM-1010	53401057	177749068
LSM-1011	5287969	177748773
LSM-1012	11373846	177748948
LSM-1013	15983966	177749072
LSM-1018	53398697	177748696
LSM-1021	5494449	177748604
LSM-1024	16038120	177748736
LSM-1029	5034	177748523
LSM-1029	5034	177748343
LSM-1033	3796	177749069
LSM-1034	10109823	177749007
LSM-1036	5166	85789056
LSM-1036	5166	177749070
LSM-1037	24889392	177749071
LSM-1040	11213558	177748686
LSM-1042	11667893	177748728
LSM-1043	20635522	177748957
LSM-1044	56965963	177749008
LSM-1046	53239990	177749045
LSM-1047	17755052	177749023
LSM-1049	24180719	177748742
LSM-1050	11676786	177749066
LSM-1051	208908	177749087
LSM-1053	11647372	177748732
LSM-1058	57394468	177749460
LSM-1059	44137675	177748950
LSM-1060	9952773	177749043
LSM-1061	11327430	177749067
LSM-1062	46885626	177748955
LSM-1063	56965966	177749033
LSM-1064	25260757	177749041
LSM-1066	11712649	177749042
LSM-1068	42611257	177748706
LSM-1070	46843648	177749009
LSM-1072	11713159	177749044
LSM-1073	46191454	177749065
LSM-1080	51358113	177749022
LSM-1081	49766501	177749024
LSM-1101	9826528	177748729
LSM-1104	71433937	177748973
LSM-1107	462382	85788968
LSM-1115	25195294	177748700
LSM-1119	53396327	177748770
LSM-1121	9967941	177749055
LSM-1125	66596670	85788221
LSM-1126	9884685	177748632
LSM-1127	49830557	177748727
LSM-1130	10074640	177748731
LSM-1131	11494412	177749420
LSM-1133	53445376	177749421
LSM-1134	25124816	177748735
LSM-1136	9903786	85787668
LSM-1139	25126798	177748964
LSM-1142	16722836	177748637
LSM-1145	23725625	164339421
LSM-1146	11960529	164339419
LSM-1153	24856436	177748702
LSM-1157	46911863	177748737
LSM-1160	216467	177749438
LSM-1161	176158	85789038
LSM-1162	53401173	177748703
LSM-1169	3038525	177748945
LSM-1172	9907093	177748744
LSM-1173	71317162	177748757
LSM-1176	3086686	177749089
LSM-1177	5711	177748516
LSM-1178	11451527	177749452
LSM-1180	11228183	177748628
LSM-1182	57519545	177749154
LSM-1183	11485656	177748724
