SM_LINCS_ID	SM_CENTER_COMPOUND_ID	IDsort
LSM-1001	HMSL10001	1001
LSM-1001	BRD-K07691486	1001
LSM-1002	HMSL10002	1002
LSM-1002	BRD-K68191783	1002
LSM-1003	HMSL10003	1003
LSM-1003	BRD-K22096725	1003
LSM-1004	BRD-K13390322	1004
LSM-1004	HMSL10004	1004
LSM-1005	BRD-K53414658	1005
LSM-1005	HMSL10005	1005
LSM-1006	BRD-K46056750	1006
LSM-1006	HMSL10006	1006
LSM-1007	BRD-K69932463	1007
LSM-1007	HMSL10007	1007
LSM-1008	HMSL10008	1008
LSM-1008	BRD-K23984367	1008
LSM-1009	HMSL10009	1009
LSM-1009	BRD-K15592317	1009
LSM-1010	HMSL10010	1010
LSM-1010	BRD-K76908866	1010
LSM-1011	BRD-K87909389	1011
LSM-1011	HMSL10011	1011
LSM-1012	BRD-A10523515	1012
LSM-1012	HMSL10012	1012
LSM-1013	BRD-K92428232	1013
LSM-1013	HMSL10013	1013
LSM-1014	HMSL10014	1014
LSM-1014	BRD-K90382497	1014
LSM-1018	HMSL10018	1018
LSM-1018	BRD-K85606544	1018
LSM-1020	BRD-K49328571	1020
LSM-1020	HMSL10020	1020
LSM-1021	BRD-K59369769	1021
LSM-1021	HMSL10021	1021
LSM-1021	BRD-K87947369	1021
LSM-1022	HMSL10022	1022
LSM-1022	BRD-K97056771	1022
LSM-1023	HMSL10023	1023
LSM-1023	BRD-K92723993	1023
LSM-1023	CGC00002358	1023
LSM-1024	HMSL10024	1024
LSM-1024	BRD-K50140147	1024
LSM-1025	BRD-K79090631	1025
LSM-1025	HMSL10025	1025
LSM-1026	BRD-K97764662	1026
LSM-1026	HMSL10026	1026
LSM-1027	BRD-K78431006	1027
LSM-1027	HMSL10027	1027
LSM-1028	BRD-K13566078	1028
LSM-1028	HMSL10028	1028
LSM-1029	HMSL10029	1029
LSM-1029	BRD-K39520573	1029
LSM-1029	BRD-K07859598	1029
LSM-1030	HMSL10030	1030
LSM-1030	BRD-K09991945	1030
LSM-1031	HMSL10031	1031
LSM-1031	BRD-K04923131	1031
LSM-1032	HMSL10032	1032
LSM-1032	BRD-K19540840	1032
LSM-1033	HMSL10033	1033
LSM-1033	BRD-K68407802	1033
LSM-1034	HMSL10034	1034
LSM-1034	BRD-A60245366	1034
LSM-1035	BRD-K04887706	1035
LSM-1035	HMSL10035	1035
LSM-1036	BRD-K82091397	1036
LSM-1036	BRD-K98143437	1036
LSM-1036	HMSL10036	1036
LSM-1037	BRD-K93918653	1037
LSM-1037	HMSL10037	1037
LSM-1040	BRD-K20285085	1040
LSM-1040	HMSL10040	1040
LSM-1041	BRD-K64890080	1041
LSM-1041	HMSL10041	1041
LSM-1042	HMSL10042	1042
LSM-1042	BRD-K99616396	1042
LSM-1043	HMSL10043	1043
LSM-1043	BRD-A29901043	1043
LSM-1044	BRD-K24859147	1044
LSM-1044	HMSL10044	1044
LSM-1045	BRD-K38615104	1045
LSM-1045	HMSL10045	1045
LSM-1046	BRD-K01253243	1046
LSM-1046	HMSL10046	1046
LSM-1047	BRD-K52911425	1047
LSM-1047	HMSL10047	1047
LSM-1048	HMSL10048	1048
LSM-1048	BRD-K05104363	1048
LSM-1049	HMSL10049	1049
LSM-1049	BRD-K16478699	1049
LSM-1050	HMSL10050	1050
LSM-1050	BRD-K05804044	1050
LSM-1051	BRD-K19687926	1051
LSM-1051	BRD-M07438658	1051
LSM-1051	HMSL10051	1051
LSM-1052	BRD-A79768653	1052
LSM-1052	CGC00003475	1052
LSM-1052	HMSL10052	1052
LSM-1053	BRD-K63068307	1053
LSM-1053	HMSL10053	1053
LSM-1054	BRD-K41895714	1054
LSM-1054	HMSL10054	1054
LSM-1055	BRD-K49669041	1055
LSM-1055	HMSL10055	1055
LSM-1056	BRD-K57080016	1056
LSM-1056	HMSL10056	1056
