smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
HMSL10263	HMSL10263-101-1	LSM-43059	LSM-4284
HMSL10261	HMSL10261-999-1	LSM-43293	LSM-6350
BRD-K07859598	BRD-K07859598-001-03-9	LSM-42779	LSM-1029
HMSL10244	HMSL10244-999	LSM-43058	LSM-4267
BRD-A79768653	BRD-A79768653-001-02-1	LSM-42783	LSM-1052
HMSL10240	HMSL10240-101-1	LSM-43057	LSM-4263
HMSL10236	HMSL10236-101-1	LSM-43239	LSM-5870
HMSL10235	HMSL10235-101-2	LSM-43055	LSM-4258
HMSL10222	HMSL10222-101-1	LSM-42808	LSM-1223
HMSL10219	HMSL10219-101-1	LSM-42806	LSM-1220
HMSL10216	HMSL10216-101-1	LSM-42804	LSM-1217
BRD-K68756823	BRD-K68756823-001-01-4	LSM-42790	LSM-1110
HMSL10192	HMSL10192-101-1	LSM-42803	LSM-1193
BRD-K95435023	BRD-K95435023-001-01-0	LSM-42793	LSM-1125
HMSL10175	HMSL10175-106-1	LSM-42800	LSM-1176
HMSL10175	HMSL10175-101-2	LSM-42800	LSM-1176
HMSL10172	HMSL10172-101-2	LSM-42798	LSM-1173
HMSL10133	HMSL10133-101-2	LSM-43226	LSM-5742
HMSL10125	HMSL10125-101-2	LSM-42793	LSM-1125
HMSL10125	HMSL10125-101-1	LSM-42793	LSM-1125
BRD-K93480852	BRD-K93480852-001-02-2	LSM-42804	LSM-1217
HMSL10119	HMSL10119-101-1	LSM-42791	LSM-1119
BRD-K97354755	BRD-K97354755-001-01-5	LSM-42805	LSM-1219
BRD-K18787491	BRD-K18787491-001-05-2	LSM-42806	LSM-1220
HMSL10110	HMSL10110-101-1	LSM-42790	LSM-1110
BRD-A01295252	BRD-A01295252-001-01-5	LSM-42809	LSM-1239
BRD-A04756508	BRD-A04756508-001-01-5	LSM-42810	LSM-1266
BRD-A17016119	BRD-A17016119-001-01-0	LSM-42811	LSM-1348
BRD-A19037878	BRD-A19037878-001-02-3	LSM-42814	LSM-1369
BRD-A19500257	BRD-A19500257-001-02-1	LSM-42815	LSM-1373
BRD-A19500257	BRD-A19500257-001-03-9	LSM-42815	LSM-1373
BRD-A38030642	BRD-A38030642-001-01-2	LSM-42817	LSM-1507
BRD-A38898897	BRD-A38898897-003-01-0	LSM-42818	LSM-1512
BRD-A38913120	BRD-A38913120-001-01-0	LSM-42819	LSM-1513
BRD-A41145729	BRD-A41145729-001-02-7	LSM-42820	LSM-1528
BRD-A41301928	BRD-A41301928-001-02-5	LSM-42821	LSM-1530
BRD-A47065382	BRD-A47065382-001-02-9	LSM-42822	LSM-1581
BRD-A47513740	BRD-A47513740-001-02-5	LSM-42823	LSM-1584
BRD-A48570745	BRD-A48570745-001-01-1	LSM-42824	LSM-1593
BRD-A49680073	BRD-A49680073-001-01-9	LSM-42825	LSM-1603
BRD-A55484088	BRD-A55484088-050-01-7	LSM-42826	LSM-1645
BRD-A55946879	BRD-A55946879-001-02-9	LSM-42827	LSM-1650
BRD-A58564983	BRD-A58564983-001-03-8	LSM-42828	LSM-1662
BRD-A69815203	BRD-A69815203-001-05-0	LSM-42829	LSM-1703
BRD-A85025557	BRD-A85025557-001-01-7	LSM-42830	LSM-1727
BRD-A71157293	BRD-A71157293-003-03-5	LSM-42831	LSM-1753
BRD-A71799696	BRD-A71799696-001-01-5	LSM-42832	LSM-1759
BRD-A73605923	BRD-A73605923-001-01-7	LSM-42833	LSM-1772
BRD-A75455249	BRD-A75455249-001-12-9	LSM-42834	LSM-1789
BRD-A77722753	BRD-A77722753-003-02-5	LSM-42835	LSM-1803
BRD-A91866971	BRD-A91866971-001-02-2	LSM-42837	LSM-1902
BRD-K00256256	BRD-K00256256-001-03-8	LSM-42838	LSM-1977
BRD-K00910650	BRD-K00910650-001-01-6	LSM-42839	LSM-1995
BRD-K01578344	BRD-K01578344-001-07-9	LSM-42840	LSM-2004
BRD-K01624546	BRD-K01624546-001-02-8	LSM-42841	LSM-2006
BRD-K02283807	BRD-K02283807-003-01-4	LSM-42842	LSM-2023
BRD-K03557653	BRD-K03557653-001-02-7	LSM-42843	LSM-2049
BRD-K03601405	BRD-K03601405-001-01-6	LSM-42844	LSM-2052
BRD-K03816923	BRD-K03816923-001-04-7	LSM-42845	LSM-2056
BRD-K03816923	BRD-K03816923-001-07-0	LSM-42845	LSM-2056
BRD-K04010869	BRD-K04010869-001-02-6	LSM-42846	LSM-2062
BRD-K04210847	BRD-K04210847-001-01-1	LSM-42848	LSM-2071
BRD-K29950728	BRD-K29950728-048-08-3	LSM-42849	LSM-2072
BRD-K04218075	BRD-K04218075-048-03-4	LSM-42850	LSM-2072
BRD-K04546108	BRD-K04546108-066-01-5	LSM-42851	LSM-2077
