CL_LINCS_ID	CL_Name	CL_Alternate_Name	CL_Provider_Catalog_ID
LCL-1001	MY	MY	JCRB0158.0
LCL-1002	MY-M12	MY-M12	JCRB0158.1
LCL-1003	MY-M13	MY-M13	JCRB158.2
LCL-1004	KY821	KY821	JCRB0105
LCL-1005	BALL-1	BALL-1	JCRB0071
LCL-1006	CCRF-SB	CCRF-SB	CCL-120
LCL-1007	NALM-6	NALM-6	ACC 128
LCL-1008	U-698-M	U-698-M	ACC 4
LCL-1009	MHH-CALL-2	MHH-CALL-2	COSMIC ID:908132
LCL-1010	MN-60	MN-60	COSMIC ID:908143
LCL-1011	C8166	C8166	88051601
LCL-1012	CCRF-CEM	CCRF-CEM	CCL-119
LCL-1013	CTV-1	CTV-1	ACC 40
LCL-1014	J.RT3-T3.5	J.RT3-T3.5	TIB-153
LCL-1015	KARPAS-45	KARPAS-45	ACC 105
LCL-1016	KE-37	KE-37	ACC 46
LCL-1017	Loucy	Loucy	CRL-2629
LCL-1018	MOLT-16	MOLT-16	ACC 29
LCL-1019	MOLT-4	MOLT-4	CRL-1582
LCL-1020	P12-ICHIKAWA	P12-ICHIKAWA	ACC 34
LCL-1021	PF-382	PF-382	ACC 38
LCL-1022	RPMI-8402	RPMI-8402	ACC 290
LCL-1023	SUP-T1	SUP-T1	CRL-1942
LCL-1024	TALL-1	TALL-1	ACC 521
LCL-1025	ATN-1	ATN-1	COSMIC ID:910687
LCL-1026	A3	A3	CRL-2570
LCL-1027	I 2.1	I 2.1	CRL-2572
LCL-1028	I 9.2	I 9.2	CRL-2571
LCL-1029	J45.01	J45.01	CRL-1990
LCL-1030	Jurkat, Clone E6-1	Jurkat, Clone E6-1	TIB-152
LCL-1031	MOLT-4F	MOLT-4F	JCRB0021
LCL-1032	P116.cl39	P116.cl39	CRL-2677
LCL-1033	AGR-ON	AGR-ON	CRL-8199
LCL-1034	CEM/C1	CEM/C1	CRL-2265
LCL-1035	CEM/C2	CEM/C2	CRL-2264
LCL-1036	DND-41	DND-41	ACC 525
LCL-1037	LC4-1	LC4-1	JCRB0114
LCL-1038	P30/OHK	P30/OHK	JCRB0094
LCL-1039	Reh	Reh	CRL-8286
LCL-1040	RS4;11	RS4;11	CRL-1873
LCL-1041	SUP-B15	SUP-B15	CRL-1929
LCL-1042	697	697	COSMIC ID:906800
LCL-1043	ALL-PO	ALL-PO	COSMIC ID:910944
LCL-1044	BE-13	BE-13	COSMIC ID:906763
LCL-1045	GR-ST	GR-ST	COSMIC ID:906877
LCL-1046	HAL-01	HAL-01	COSMIC ID:949153
LCL-1047	HCE-T	HCE-T	COSMIC ID:907049
LCL-1048	SK-PN-DW	SK-PN-DW	COSMIC ID:909731
LCL-1049	BDCM	BDCM	CRL-2740
LCL-1050	CESS	CESS	TIB-190
LCL-1051	CMK	CMK	ACC 392
LCL-1052	GDM-1	GDM-1	CRL-2627
LCL-1053	HEL	HEL	ACC 11
LCL-1054	HL-60	HL-60	CCL-240
LCL-1055	Kasumi-1	Kasumi-1	CRL-2724
LCL-1056	KG-1	KG-1	CCL-246
LCL-1057	KG-1a	KG-1a	CCL-246.1
LCL-1058	KMOE-2	KMOE-2	ACC 37
LCL-1059	ME-1	ME-1	ACC 537
LCL-1060	ML-2	ML-2	ACC 15
LCL-1061	MOLM-13	MOLM-13	ACC 554
LCL-1062	MONO-MAC-1	MONO-MAC-1	ACC 252
LCL-1063	MONO-MAC-6	MONO-MAC-6	ACC 124
LCL-1064	NOMO-1/ADM	NOMO-1/ADM	JCRB1069
LCL-1065	OCI-AML2	OCI-AML2	ACC 99
LCL-1066	OCI-AML3	OCI-AML3	ACC 582
LCL-1067	OCI-AML5	OCI-AML5	ACC 247
LCL-1068	OCI-M1	OCI-M1	ACC 529
LCL-1069	P31/FUJ	P31/FUJ	JCRB0091
LCL-1070	PL-21	PL-21	ACC 536
LCL-1071	SIG-M5	SIG-M5	ACC 468
LCL-1072	THP-1	THP-1	TIB-202
LCL-1073	NKM-1	NKM-1	COSMIC ID:908448
LCL-1074	NOMO-1	NOMO-1	COSMIC ID:908451
LCL-1075	QIMR-WIL	QIMR-WIL	COSMIC ID:910545
LCL-1076	HEL 92.1.7	HEL 92.1.7	TIB-180
LCL-1077	TF-1	TF-1	CRL-2003
LCL-1078	TF-1.CN5a.1	TF-1.CN5a.1	CRL-2512
LCL-1079	TF-1a	TF-1a	CRL-2451
LCL-1080	KO52	KO52	JCRB0123
LCL-1081	Clone 15 HL-60	Clone 15 HL-60	CRL-1964
LCL-1082	HL60(S)	HL60(S)	JCRB0163
LCL-1083	HL-60/MX2	HL-60/MX2	CRL-2257
LCL-1084	NB-4	NB-4	ACC 207
LCL-1085	EHEB	EHEB	ACC 67
LCL-1086	HC-1	HC-1	ACC 301
LCL-1087	KARPAS-231	KARPAS-231	ACC 562
LCL-1088	KOPN-8	KOPN-8	ACC 552
LCL-1089	MEC-1	MEC-1	ACC 497
LCL-1090	MEC-2	MEC-2	ACC 500
LCL-1091	MLMA	MLMA	JCRB0146
LCL-1092	MV-4-11	MV-4-11	CRL-9591
LCL-1093	NALM-19	NALM-19	ACC 522
